circuit name,latitude,longitude,fastest lap speed
Albert Park Grand Prix Circuit,-37.8497,144.968,218.300
Albert Park Grand Prix Circuit,-37.8497,144.968,217.586
Albert Park Grand Prix Circuit,-37.8497,144.968,216.719
Albert Park Grand Prix Circuit,-37.8497,144.968,215.464
Albert Park Grand Prix Circuit,-37.8497,144.968,218.385
Albert Park Grand Prix Circuit,-37.8497,144.968,212.974
Albert Park Grand Prix Circuit,-37.8497,144.968,213.224
Albert Park Grand Prix Circuit,-37.8497,144.968,217.180
Albert Park Grand Prix Circuit,-37.8497,144.968,215.100
Albert Park Grand Prix Circuit,-37.8497,144.968,213.166
Albert Park Grand Prix Circuit,-37.8497,144.968,210.038
Albert Park Grand Prix Circuit,-37.8497,144.968,208.907
Albert Park Grand Prix Circuit,-37.8497,144.968,216.510
Albert Park Grand Prix Circuit,-37.8497,144.968,213.300
Albert Park Grand Prix Circuit,-37.8497,144.968,213.758
Albert Park Grand Prix Circuit,-37.8497,144.968,207.461
Albert Park Grand Prix Circuit,-37.8497,144.968,215.141
Sepang International Circuit,2.76083,101.738,209.158
Sepang International Circuit,2.76083,101.738,208.033
Sepang International Circuit,2.76083,101.738,208.031
Sepang International Circuit,2.76083,101.738,207.715
Sepang International Circuit,2.76083,101.738,209.033
Sepang International Circuit,2.76083,101.738,209.244
Sepang International Circuit,2.76083,101.738,206.366
Sepang International Circuit,2.76083,101.738,207.240
Sepang International Circuit,2.76083,101.738,207.417
Sepang International Circuit,2.76083,101.738,208.481
Sepang International Circuit,2.76083,101.738,205.812
Sepang International Circuit,2.76083,101.738,205.800
Sepang International Circuit,2.76083,101.738,206.372
Sepang International Circuit,2.76083,101.738,206.182
Sepang International Circuit,2.76083,101.738,203.265
Sepang International Circuit,2.76083,101.738,202.578
Sepang International Circuit,2.76083,101.738,204.222
Sepang International Circuit,2.76083,101.738,205.995
Sepang International Circuit,2.76083,101.738,208.048
Sepang International Circuit,2.76083,101.738,198.891
Bahrain International Circuit,26.0325,50.5106,208.153
Bahrain International Circuit,26.0325,50.5106,207.911
Bahrain International Circuit,26.0325,50.5106,207.765
Bahrain International Circuit,26.0325,50.5106,208.231
Bahrain International Circuit,26.0325,50.5106,209.062
Bahrain International Circuit,26.0325,50.5106,206.819
Bahrain International Circuit,26.0325,50.5106,206.597
Bahrain International Circuit,26.0325,50.5106,207.109
Bahrain International Circuit,26.0325,50.5106,205.503
Bahrain International Circuit,26.0325,50.5106,204.668
Bahrain International Circuit,26.0325,50.5106,205.399
Bahrain International Circuit,26.0325,50.5106,204.963
Bahrain International Circuit,26.0325,50.5106,203.969
Bahrain International Circuit,26.0325,50.5106,204.155
Bahrain International Circuit,26.0325,50.5106,204.369
Bahrain International Circuit,26.0325,50.5106,204.389
Bahrain International Circuit,26.0325,50.5106,203.180
Bahrain International Circuit,26.0325,50.5106,204.331
Bahrain International Circuit,26.0325,50.5106,204.136
Bahrain International Circuit,26.0325,50.5106,204.808
Bahrain International Circuit,26.0325,50.5106,202.686
Circuit de Barcelona-Catalunya,41.57,2.26111,205.191
Circuit de Barcelona-Catalunya,41.57,2.26111,204.863
Circuit de Barcelona-Catalunya,41.57,2.26111,204.323
Circuit de Barcelona-Catalunya,41.57,2.26111,204.102
Circuit de Barcelona-Catalunya,41.57,2.26111,202.969
Circuit de Barcelona-Catalunya,41.57,2.26111,203.489
Circuit de Barcelona-Catalunya,41.57,2.26111,200.576
Circuit de Barcelona-Catalunya,41.57,2.26111,202.494
Circuit de Barcelona-Catalunya,41.57,2.26111,203.080
Circuit de Barcelona-Catalunya,41.57,2.26111,200.841
Circuit de Barcelona-Catalunya,41.57,2.26111,201.886
Circuit de Barcelona-Catalunya,41.57,2.26111,202.288
Circuit de Barcelona-Catalunya,41.57,2.26111,198.045
Circuit de Barcelona-Catalunya,41.57,2.26111,201.130
Circuit de Barcelona-Catalunya,41.57,2.26111,202.677
Circuit de Barcelona-Catalunya,41.57,2.26111,199.837
Circuit de Barcelona-Catalunya,41.57,2.26111,203.243
Circuit de Barcelona-Catalunya,41.57,2.26111,192.922
Circuit de Barcelona-Catalunya,41.57,2.26111,194.862
Circuit de Barcelona-Catalunya,41.57,2.26111,196.128
Istanbul Park,40.9517,29.405,221.734
Istanbul Park,40.9517,29.405,222.085
Istanbul Park,40.9517,29.405,222.144
Istanbul Park,40.9517,29.405,221.442
Istanbul Park,40.9517,29.405,220.328
Istanbul Park,40.9517,29.405,220.174
Istanbul Park,40.9517,29.405,219.294
Istanbul Park,40.9517,29.405,218.882
Istanbul Park,40.9517,29.405,218.457
Istanbul Park,40.9517,29.405,218.556
Istanbul Park,40.9517,29.405,218.377
Istanbul Park,40.9517,29.405,219.269
Istanbul Park,40.9517,29.405,217.623
Istanbul Park,40.9517,29.405,218.330
Istanbul Park,40.9517,29.405,218.703
Istanbul Park,40.9517,29.405,216.454
Istanbul Park,40.9517,29.405,217.926
Istanbul Park,40.9517,29.405,216.539
Circuit de Monaco,43.7347,7.42056,153.152
Circuit de Monaco,43.7347,7.42056,154.286
Circuit de Monaco,43.7347,7.42056,154.379
Circuit de Monaco,43.7347,7.42056,152.133
Circuit de Monaco,43.7347,7.42056,152.614
Circuit de Monaco,43.7347,7.42056,151.104
Circuit de Monaco,43.7347,7.42056,150.469
Circuit de Monaco,43.7347,7.42056,155.586
Circuit de Monaco,43.7347,7.42056,156.789
Circuit de Monaco,43.7347,7.42056,154.413
Circuit de Monaco,43.7347,7.42056,151.089
Circuit de Monaco,43.7347,7.42056,151.021
Circuit de Monaco,43.7347,7.42056,150.620
Circuit de Monaco,43.7347,7.42056,149.829
Circuit de Monaco,43.7347,7.42056,146.564
Circuit de Monaco,43.7347,7.42056,147.951
Circuit de Monaco,43.7347,7.42056,131.860
Circuit de Monaco,43.7347,7.42056,129.500
Circuit de Monaco,43.7347,7.42056,117.753
Circuit de Monaco,43.7347,7.42056,118.872
Circuit Gilles Villeneuve,45.5,-73.5228,202.473
Circuit Gilles Villeneuve,45.5,-73.5228,202.758
Circuit Gilles Villeneuve,45.5,-73.5228,201.057
Circuit Gilles Villeneuve,45.5,-73.5228,198.510
Circuit Gilles Villeneuve,45.5,-73.5228,201.261
Circuit Gilles Villeneuve,45.5,-73.5228,199.056
Circuit Gilles Villeneuve,45.5,-73.5228,200.503
Circuit Gilles Villeneuve,45.5,-73.5228,199.913
Circuit Gilles Villeneuve,45.5,-73.5228,200.091
Circuit Gilles Villeneuve,45.5,-73.5228,201.336
Circuit Gilles Villeneuve,45.5,-73.5228,197.847
Circuit Gilles Villeneuve,45.5,-73.5228,200.759
Circuit Gilles Villeneuve,45.5,-73.5228,199.689
Circuit Gilles Villeneuve,45.5,-73.5228,198.563
Circuit Gilles Villeneuve,45.5,-73.5228,199.273
Circuit Gilles Villeneuve,45.5,-73.5228,200.697
Circuit Gilles Villeneuve,45.5,-73.5228,198.129
Circuit Gilles Villeneuve,45.5,-73.5228,202.871
Circuit Gilles Villeneuve,45.5,-73.5228,202.559
Circuit Gilles Villeneuve,45.5,-73.5228,194.624
Circuit de Nevers Magny-Cours,46.8642,3.16361,206.956
Circuit de Nevers Magny-Cours,46.8642,3.16361,207.224
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.721
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.870
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.768
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.879
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.218
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.525
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.060
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.022
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.013
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.212
